Country,value
India,1338658835
Pakistan,207896686
Bangladesh,159670593
Sri Lanka,21444000
Nepal,27627124
China,1386395000
Japan,126785797
Korea Republic,51466201
Australia,24601860
Indonesia,264645886
Germany,82657002
United Kingdom,66058859
France,66865144
Italy,60536709
Russia,144496740
Poland,37974826
Czech Republic,10594438
Romania,19587491
Hungary,9787966
Slovakia,5439232
Brazil,207833831
Mexico,124777324
Argentina,44044811
Venezuela,29390409
Colombia,48901066
United States,325147121
Canada,36540268
Bermuda,63874
Saudi Arabia,33099147
Iran,80673951
United Arab Emirates,9487203
Israel,8713300
Egypt,96442593